10 3581 14235
1 187 -0.467482 0.234526
0 188 -0.314265 0.229727
1 188 -0.46562 0.239059
0 189 -0.287133 0.229727
1 189 -0.43902 0.239059
0 190 0.199651 0.229727
1 190 0.00520344 0.243058
0 191 0.188479 0.232927
1 191 -0.00277663 0.247057
0 192 0.206035 0.232927
1 192 0.0118535 0.247057
0 193 -0.283941 0.239325
1 193 -0.44434 0.251057
0 194 -0.287133 0.240925
1 194 -0.445138 0.250523
0 195 -0.295113 0.247324
1 195 -0.454714 0.256922
0 143 0.27626 0.247324
0 196 0.266684 0.253723
1 196 0.068778 0.26652
0 197 -0.266385 0.255322
1 197 -0.421198 0.264921
0 198 0.269876 0.258522
1 198 0.07197 0.27132
0 149 -0.341397 0.261721
0 199 0.269876 0.263321
1 199 0.07197 0.276119
0 149 -0.374913 0.264921
0 150 0.258703 0.26812
0 200 0.287432 0.298515
1 200 0.102294 0.308113
0 201 0.220399 0.32571
1 201 0.0400497 0.333708
0 97 -0.256809 0.341707
0 152 0.36404 -0.180759
0 202 0.235721 -0.134687
1 202 0.0637239 -0.107545
0 203 0.166773 0.0342424
1 203 -0.0190026 0.0584301
0 155 0.289347 0.041921
0 106 0.306584 0.0495996
0 204 0.174434 0.0649569
1 204 -0.0190027 0.0873528
0 205 0.352549 0.0899124
1 205 0.143525 0.113748
0 161 0.18401 0.10143
0 206 0.191671 0.10143
1 206 -0.00463858 0.122546
0 207 0.174434 0.112948
1 207 -0.0190027 0.132145
0 208 0.321906 0.118707
1 208 0.113147 0.139823
0 209 0.327651 0.118707
1 209 0.118893 0.139823
0 210 0.174434 0.126386
1 210 -0.0190027 0.146542
0 211 0.325736 0.134064
1 211 0.118893 0.153261
0 212 0.178264 0.135984
1 212 -0.0158107 0.154541
0 173 0.327651 0.137904
0 213 0.318075 0.149422
1 213 0.111232 0.168618
0 214 0.306584 0.151341
1 214 0.0997406 0.170538
0 215 0.166773 0.1571
1 215 -0.0221947 0.173737
0 216 0.335312 0.168618
1 216 0.128469 0.185895
0 217 0.327651 0.172457
1 217 0.122723 0.189734
0 218 0.310414 0.174377
1 218 0.103571 0.191654
0 219 0.337227 0.174377
1 219 0.130384 0.191654
0 220 0.308499 0.178216
1 220 0.101656 0.195493
0 221 -0.266065 0.222368
1 221 -0.417367 0.233886
0 222 -0.327352 0.224288
1 222 -0.47227 0.234526
0 187 -0.319691 0.224288
0 186 -0.357996 0.226208
0 223 -0.287133 0.228127
1 223 -0.44035 0.239645
0 224 0.208908 0.228127
1 224 0.0131835 0.241725
0 225 -0.315861 0.230047
1 225 -0.465886 0.239325
0 226 0.205077 0.231967
1 226 0.0113215 0.245724
0 227 -0.287133 0.239645
1 227 -0.44035 0.249244
0 228 -0.296709 0.247324
1 228 -0.455672 0.256922
0 229 0.27594 0.247324
1 229 0.0748429 0.260762
0 230 0.218484 0.253083
1 230 0.0269625 0.266521
0 231 0.266364 0.253083
1 231 0.067182 0.266521
0 232 0.270195 0.256922
1 232 0.0710124 0.27036
0 199 0.26828 0.262681
0 233 -0.375233 0.264601
1 233 -0.49488 0.268387
0 200 0.285516 0.299155
0 234 -0.258405 0.333708
1 234 -0.411622 0.337548
0 235 0.353315 -0.0314097
1 235 0.169914 -0.00745241
0 155 0.288964 0.042305
0 236 0.284367 0.0469122
1 236 0.0960023 0.0682894
0 237 0.169455 0.0676444
1 237 -0.0228331 0.0899124
0 238 0.174051 0.0722516
1 238 -0.0190027 0.0937517
0 239 0.351017 0.0952875
1 239 0.141875 0.118323
0 240 0.183244 0.102198
1 240 -0.0113418 0.122546
0 241 0.174051 0.125234
1 241 -0.0190027 0.145582
0 242 0.25449 0.132145
1 242 0.0346233 0.153261
0 243 0.323438 0.145966
1 243 0.116978 0.164779
0 244 0.252192 0.150573
1 244 0.0292608 0.171306
0 245 0.314245 0.150573
1 245 0.1097 0.169002
0 246 0.30735 0.152877
